PolicyID,ClaimNb,Exposure,Power,CarAge,DriverAge,Brand,Gas,Region,Density,ClaimAmount
33,1,0.75,g,1,61,Japanese (except Nissan) or Korean,Regular,Ile-de-France,27000,302
41,1,0.14,l,5,50,Japanese (except Nissan) or Korean,Diesel,Basse-Normandie,56,2001
92,1,0.14,d,0,36,Japanese (except Nissan) or Korean,Regular,Ile-de-France,4792,1449
96,2,0.62,j,0,51,Japanese (except Nissan) or Korean,Regular,Ile-de-France,27000,946
96,2,0.62,j,0,51,Japanese (except Nissan) or Korean,Regular,Ile-de-France,27000,9924
142,1,0.75,e,0,34,Japanese (except Nissan) or Korean,Regular,Nord-Pas-de-Calais,1565,1390
182,1,0.68,d,10,24,"Renault, Nissan or Citroen",Regular,Ile-de-France,3064,1418
377,1,0.5,i,0,35,Japanese (except Nissan) or Korean,Regular,Ile-de-France,1139,747
378,1,0.73,f,0,74,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3132,3332
401,1,0.65,f,8,49,"Renault, Nissan or Citroen",Regular,Ile-de-France,9082,2956
436,1,0.1,i,0,78,Japanese (except Nissan) or Korean,Regular,Aquitaine,2580,471
438,1,0.75,j,8,50,Japanese (except Nissan) or Korean,Regular,Ile-de-France,27000,73
467,2,0.69,i,0,50,Japanese (except Nissan) or Korean,Regular,Aquitaine,353,1440
467,2,0.69,i,0,50,Japanese (except Nissan) or Korean,Regular,Aquitaine,353,395
494,1,0.12,e,0,49,Japanese (except Nissan) or Korean,Diesel,Pays-de-la-Loire,23,576
500,1,0.73,e,0,22,Japanese (except Nissan) or Korean,Regular,Ile-de-France,4408,3409
520,1,0.72,e,0,47,Japanese (except Nissan) or Korean,Regular,Ile-de-France,5936,594
580,1,0.15,g,2,71,Japanese (except Nissan) or Korean,Regular,Ile-de-France,2201,6518
596,1,0.01,g,0,45,Japanese (except Nissan) or Korean,Diesel,Ile-de-France,6570,1274
615,1,0.7,g,5,32,Japanese (except Nissan) or Korean,Regular,Ile-de-France,15725,936
643,2,0.57,l,9,53,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3110,644
643,2,0.57,l,9,53,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3110,8461
723,1,0.96,f,7,47,"Opel, General Motors or Ford",Regular,Aquitaine,2498,990
760,1,0.47,d,0,51,Japanese (except Nissan) or Korean,Regular,Aquitaine,2580,1129
766,1,0.93,i,0,68,Japanese (except Nissan) or Korean,Regular,Ile-de-France,17140,1107
909,1,0.26,l,3,28,Japanese (except Nissan) or Korean,Diesel,Ile-de-France,59,1344
944,1,0.55,h,8,51,Japanese (except Nissan) or Korean,Regular,Ile-de-France,27000,397
948,2,0.66,g,0,51,Japanese (except Nissan) or Korean,Regular,Ile-de-France,27000,538
948,2,0.66,g,0,51,Japanese (except Nissan) or Korean,Regular,Ile-de-France,27000,934
956,1,0.65,j,7,27,Japanese (except Nissan) or Korean,Diesel,Pays-de-la-Loire,162,508
1048,1,0.49,k,0,39,Japanese (except Nissan) or Korean,Diesel,Ile-de-France,27000,1768
1059,1,0.51,f,0,35,Japanese (except Nissan) or Korean,Regular,Centre,949,584
1135,1,0.54,e,0,25,"Volkswagen, Audi, Skoda or Seat",Diesel,Ile-de-France,10961,1458
1188,2,0.42,k,0,45,Japanese (except Nissan) or Korean,Diesel,Ile-de-France,1248,556
1188,2,0.42,k,0,45,Japanese (except Nissan) or Korean,Diesel,Ile-de-France,1248,31889
1343,1,0.46,f,5,47,"Opel, General Motors or Ford",Diesel,Basse-Normandie,1021,685
1392,1,0.43,f,8,23,"Renault, Nissan or Citroen",Diesel,Aquitaine,800,76
1408,1,0.47,g,4,46,Fiat,Regular,Ile-de-France,56,2040
1432,1,0.29,f,0,42,Japanese (except Nissan) or Korean,Regular,Ile-de-France,17140,890
1454,1,0.26,e,6,32,"Renault, Nissan or Citroen",Regular,Ile-de-France,3274,89
1526,2,0.43,e,8,18,"Opel, General Motors or Ford",Diesel,Aquitaine,2498,91
1526,2,0.43,e,8,18,"Opel, General Motors or Ford",Diesel,Aquitaine,2498,1153
1603,1,0.21,d,3,36,"Renault, Nissan or Citroen",Regular,Nord-Pas-de-Calais,2537,593
1634,1,0.38,g,2,33,"Renault, Nissan or Citroen",Diesel,Ile-de-France,5460,74
1689,1,0.26,f,2,56,Japanese (except Nissan) or Korean,Diesel,Pays-de-la-Loire,97,634
1965,1,0.19,d,0,51,Japanese (except Nissan) or Korean,Regular,Poitou-Charentes,100,1024
1983,1,0.14,e,0,60,Japanese (except Nissan) or Korean,Regular,Ile-de-France,12750,1163
2069,1,0.12,e,0,25,Japanese (except Nissan) or Korean,Regular,Poitou-Charentes,515,363
2160,1,0.07,j,10,24,Japanese (except Nissan) or Korean,Regular,Aquitaine,72,6103
2286,1,1.0,h,9,56,Fiat,Diesel,Aquitaine,272,1147
2310,1,0.5,e,4,42,"Renault, Nissan or Citroen",Regular,Haute-Normandie,361,93
2377,1,1.0,d,13,36,"Renault, Nissan or Citroen",Regular,Bretagne,229,1163
2425,1,0.68,e,4,46,Fiat,Regular,Centre,4116,3602
2431,2,0.75,d,8,56,"Opel, General Motors or Ford",Regular,Basse-Normandie,1284,1159
2431,2,0.75,d,8,56,"Opel, General Motors or Ford",Regular,Basse-Normandie,1284,90
2439,1,0.54,g,12,44,"Renault, Nissan or Citroen",Regular,Centre,399,1028
2440,1,0.19,g,13,44,"Renault, Nissan or Citroen",Regular,Centre,399,1138
2458,1,1.0,f,2,73,"Renault, Nissan or Citroen",Diesel,Centre,105,1038
2461,1,1.0,e,7,61,"Renault, Nissan or Citroen",Regular,Bretagne,461,1152
2467,1,1.0,g,8,53,"Renault, Nissan or Citroen",Regular,Centre,121,78
2501,1,0.19,g,0,44,"Renault, Nissan or Citroen",Diesel,Basse-Normandie,56,1048
2519,1,1.0,h,7,65,"Volkswagen, Audi, Skoda or Seat",Regular,Centre,44,1143
2538,1,1.0,g,8,78,"Renault, Nissan or Citroen",Regular,Centre,282,98
2581,1,1.0,d,6,51,"Renault, Nissan or Citroen",Regular,Centre,40,1504
2587,1,1.0,d,8,76,Fiat,Regular,Centre,405,808
2591,1,0.59,f,1,69,"Renault, Nissan or Citroen",Regular,Centre,741,1134
2674,1,0.99,h,9,56,"Renault, Nissan or Citroen",Diesel,Basse-Normandie,1284,1119
2709,1,1.0,e,1,72,"Renault, Nissan or Citroen",Regular,Centre,48,314
2752,1,0.39,f,10,55,"Renault, Nissan or Citroen",Diesel,Pays-de-la-Loire,26,1697
2796,1,0.5,f,6,44,"Renault, Nissan or Citroen",Diesel,Centre,56,1141
2798,1,1.0,g,9,78,"Renault, Nissan or Citroen",Regular,Basse-Normandie,1284,491
2812,1,0.49,f,5,50,"Renault, Nissan or Citroen",Diesel,Bretagne,48,69024
2815,1,1.0,f,6,78,"Renault, Nissan or Citroen",Regular,Poitou-Charentes,43,1110
2874,1,0.75,d,10,50,"Renault, Nissan or Citroen",Diesel,Basse-Normandie,251,112
2919,1,1.0,e,10,62,"Renault, Nissan or Citroen",Regular,Ile-de-France,2563,683
2956,1,0.67,g,2,53,"Renault, Nissan or Citroen",Regular,Centre,13,1116
2969,1,1.0,f,13,48,"Opel, General Motors or Ford",Regular,Centre,335,241
2974,1,1.0,g,6,54,"Renault, Nissan or Citroen",Regular,Centre,66,1141
2999,1,1.0,o,1,73,"Mercedes, Chrysler or BMW",Regular,Centre,10,5522
3015,1,0.24,g,18,51,"Renault, Nissan or Citroen",Regular,Centre,1313,3742
3023,1,0.72,d,11,79,"Renault, Nissan or Citroen",Regular,Centre,39,24789
3085,1,1.0,j,11,66,Japanese (except Nissan) or Korean,Diesel,Centre,4116,2428
3144,1,0.5,e,5,53,"Renault, Nissan or Citroen",Regular,Bretagne,94,61
3161,1,1.0,g,14,63,"Renault, Nissan or Citroen",Regular,Centre,1943,10
3177,1,1.0,e,9,50,"Opel, General Motors or Ford",Diesel,Centre,399,1093
3202,1,1.0,i,10,53,"Renault, Nissan or Citroen",Regular,Centre,255,1174
3275,2,1.0,f,12,86,"Renault, Nissan or Citroen",Regular,Poitou-Charentes,227,1132
3275,2,1.0,f,12,86,"Renault, Nissan or Citroen",Regular,Poitou-Charentes,227,1136
3285,1,1.0,f,4,67,"Renault, Nissan or Citroen",Diesel,Centre,18,1311
3298,1,1.0,k,11,48,"Mercedes, Chrysler or BMW",Regular,Poitou-Charentes,49,1167
3306,1,0.93,g,14,60,"Renault, Nissan or Citroen",Regular,Centre,295,394
3328,1,0.16,i,16,64,"Renault, Nissan or Citroen",Regular,Centre,295,7
3342,1,1.0,e,11,43,"Renault, Nissan or Citroen",Diesel,Centre,44,1109
3344,1,1.0,d,4,75,"Renault, Nissan or Citroen",Regular,Centre,385,7119
3349,1,0.34,f,0,52,Fiat,Regular,Centre,50,720
3356,1,0.79,g,8,43,"Renault, Nissan or Citroen",Regular,Centre,16,232
3380,1,0.33,j,7,49,"Mercedes, Chrysler or BMW",Regular,Centre,73,66376
3385,1,1.0,g,10,67,"Renault, Nissan or Citroen",Regular,Centre,48,778
3447,1,1.0,f,9,53,"Renault, Nissan or Citroen",Regular,Centre,24,968
3494,1,1.0,l,5,51,Japanese (except Nissan) or Korean,Diesel,Pays-de-la-Loire,8,1061
3504,2,1.0,g,3,75,"Renault, Nissan or Citroen",Regular,Centre,91,4871
3504,2,1.0,g,3,75,"Renault, Nissan or Citroen",Regular,Centre,91,5972
3516,1,1.0,e,9,43,"Opel, General Motors or Ford",Diesel,Centre,35,770
3546,1,0.24,g,0,54,other,Diesel,Centre,4116,1260
3567,1,1.0,f,5,54,"Opel, General Motors or Ford",Regular,Bretagne,1102,2314
3577,1,1.0,f,2,80,"Renault, Nissan or Citroen",Regular,Bretagne,473,1103
3592,1,1.0,d,12,49,"Renault, Nissan or Citroen",Regular,Pays-de-la-Loire,522,60
3616,1,0.87,f,1,71,"Renault, Nissan or Citroen",Diesel,Bretagne,229,1087
3666,1,1.0,d,11,86,"Renault, Nissan or Citroen",Diesel,Centre,51,1121
3677,1,1.0,g,13,73,"Renault, Nissan or Citroen",Regular,Centre,182,1171
3694,1,1.0,h,6,69,"Renault, Nissan or Citroen",Regular,Bretagne,359,676
3721,1,0.74,f,4,42,"Renault, Nissan or Citroen",Diesel,Centre,28,1117
3737,1,0.98,g,6,52,"Renault, Nissan or Citroen",Diesel,Centre,44,257
3763,1,0.16,l,12,45,"Volkswagen, Audi, Skoda or Seat",Regular,Centre,10,1170
3814,1,1.0,e,2,52,"Volkswagen, Audi, Skoda or Seat",Diesel,Centre,1313,1301
3829,1,0.75,d,15,72,"Renault, Nissan or Citroen",Regular,Centre,57,537
3836,1,1.0,g,11,87,"Renault, Nissan or Citroen",Regular,Centre,399,1122
3841,1,1.0,f,2,50,"Renault, Nissan or Citroen",Diesel,Centre,32,30673
3843,2,1.0,e,17,58,"Renault, Nissan or Citroen",Regular,Centre,44,1128
3843,2,1.0,e,17,58,"Renault, Nissan or Citroen",Regular,Centre,44,1137
3882,1,1.0,g,14,55,"Renault, Nissan or Citroen",Regular,Centre,111,1071
3901,1,0.24,h,10,49,"Mercedes, Chrysler or BMW",Regular,Centre,12,4844
3907,1,1.0,g,5,51,"Renault, Nissan or Citroen",Diesel,Centre,59,195
3937,1,1.0,g,7,82,"Renault, Nissan or Citroen",Regular,Centre,27,513
3965,1,1.0,i,1,62,"Renault, Nissan or Citroen",Regular,Centre,91,1192
4050,1,1.0,f,6,69,"Volkswagen, Audi, Skoda or Seat",Diesel,Centre,25,1110
4059,1,1.0,h,1,45,"Renault, Nissan or Citroen",Diesel,Centre,106,389
4062,1,1.0,g,5,72,"Renault, Nissan or Citroen",Regular,Centre,26,1113
4099,1,1.0,e,6,46,"Opel, General Motors or Ford",Diesel,Ile-de-France,2007,796
4134,1,1.0,k,6,42,"Renault, Nissan or Citroen",Regular,Centre,74,2274
4154,1,1.0,g,5,50,"Renault, Nissan or Citroen",Diesel,Centre,1313,2738
4160,1,1.0,d,21,68,"Renault, Nissan or Citroen",Regular,Centre,30,889
