,Commune,Hab. par km²
0,Anvers**,2671
1,Gand,1709
2,Charleroi,1985
3,Ville de Bruxelles,5948
4,Liège,2821
5,Schaerbeek,16507
6,Anderlecht,7068
7,Bruges,850
8,Namur,649
9,Louvain,1809
10,Molenbeek-Saint-Jean,16340
11,Mons,653
12,Alost,1157
13,Hasselt**,655
14,Malines,1358
15,Ixelles,13928
16,Beveren-Kruibeke-Zwijndrecht**,424
17,Uccle,3796
18,Saint-Nicolas,972
19,La Louvière,1258
20,Courtrai,992
21,Ostende,1773
22,Tournai,318
23,Genk,775
24,Roulers,1097
25,Seraing,1823
26,Woluwe-Saint-Lambert,8336
27,Mouscron,1477
28,Forest,9228
29,Verviers,1689
30,Jette,10425
31,Lokeren**,474
32,Etterbeek,15702
33,Saint-Gilles,19483
34,Beringen,615
35,Vilvorde,2200
36,Turnhout,834
37,Termonde,835
38,Deinze*,355
39,Evere,8835
40,Dilbeek,1082
41,Heist-op-den-Berg,513
42,Tongres-Looz**,314
43,Bilzen-Hoeselt**,404
44,Hal,947
45,Woluwe-Saint-Pierre,4762
46,Geel,384
47,Saint-Trond,387
48,Herstal,1747
49,Braine-l'Alleud,773
50,Ninove,552
51,Maasmechelen,523
52,Waregem,899
53,Grimbergen,1031
54,Mol,336
55,Brasschaat,997
56,Lierre,766
57,Merelbeke-Melle**,711
58,Evergem,489
59,Zaventem,1323
60,Tirlemont,503
61,Leeuw-Saint-Pierre,898
62,Asse,712
63,Châtelet,1301
64,Wavre,844
65,Ypres,270
66,Auderghem,3941
67,Heusden-Zolder,656
68,Grammont,437
69,Lommel,341
70,Schoten,1174
71,Pelt*,411
72,Menin,1038
73,Binche,550
74,Audenarde,474
75,Knokke-Heist,528
76,Wevelgem,815
77,Tielt**,323
78,Ottignies-Louvain-la-Neuve,948
79,Courcelles,704
80,Arlon,263
81,Tamise,780
82,Aerschot,494
83,Lochristi**,325
84,Houthalen-Helchteren,395
85,Brecht,335
86,Waterloo,1435
87,Tessenderlo-Ham**,359
88,Ath,235
89,Harelbeke,1017
90,Aalter*,249
91,Iseghem,1140
92,Nivelles,478
93,Soignies,261
94,Ans,1241
95,Herentals,602
96,Sambreville,835
97,Tubize,866
98,Willebroeck,1032
99,Andenne,327
100,Zottegem,489
101,Kapellen,746
102,Renaix,788
103,Lievegem*,337
104,Flémalle,738
105,Wetteren,728
106,Puers-Saint-Amand*,549
107,Saint-Josse-ten-Noode,23185
108,Mortsel,3417
109,Beersel,872
110,Gembloux,275
111,Lanaken,447
112,Overijse,577
113,Maaseik,335
114,Berchem-Sainte-Agathe,8741
115,Zwevegem,405
116,Oupeye,713
117,Westerlo,462
118,Ganshoren,10477
119,Hamme,630
120,Watermael-Boitsfort,1950
121,Pajottegem**,210
122,Diest,425
123,Maldeghem,259
124,Saint-Nicolas,3544
125,Oostkamp,303
126,Manage,1241
127,Montaigu-Zichem,469
128,Oudsbergen*,205
129,Saint-Ghislain,336
130,Nylen,605
131,Balen,322
132,Zedelghem,387
133,Braine-le-Comte,276
134,Zemst,541
135,Nazareth-La Pinte**,440
136,Grâce-Hollogne,681
137,Rixensart,1315
138,Tervueren,686
139,Edegem,2639
140,Herent,703
141,Fleurus,385
142,Koekelberg,19193
143,Zoersel,583
144,Eeklo,736
145,Hoogstraten,211
146,Bornem,478
147,Zonhoven,551
148,Westwesel,244
149,Wavre-Sainte-Catherine,603
150,Huy,456
151,Kontich,911
152,Frameries,831
153,Coxyde,428
154,Zele,646
155,Dilsen-Stokkem,324
156,Cortenbergh,610
157,Denderleeuw,1519
158,Erpe-Mere,611
159,Thourout,463
160,Colfontaine,1509
161,Bastogne**,78
162,Wingene**,208
163,Chaudfontaine,809
164,Blankenberghe,1081
165,Schilde,563
166,Meise,579
167,Boussu,1010
168,Saint-Gilles-Waes,363
169,Eupen,209
170,Lebbeke,735
171,Poperinge,165
172,Middelkerke,251
173,Ranst,453
174,Kalmthout,331
175,Kasterlee,272
176,Essen,413
177,Diepenbeek,473
178,Stekene,433
179,Boom,2633
180,Londerzeel,531
181,Haaltert,636
182,Lede,646
183,Jemeppe-sur-Sambre,410
184,Wervicq,439
185,Morlanwelz,941
186,Destelbergen,715
187,Quaregnon,1691
188,Herzele,395
189,Putte,538
190,Stabroek,879
191,Lessines,258
192,Rhode-Saint-Genèse,822
193,Beerse,498
194,Walcourt,149
195,Comines-Warneton,300
196,Bredene,1276
197,Wemmel,2073
198,Visé,655
199,Fontaine-l'Évêque,632
200,Duffel,799
201,Merchtem,489
202,Marche-en-Famenne,147
203,Herve,314
204,Aubange,387
205,Rotselaar,475
206,Pont-à-Celles,315
207,Soumagne,638
208,Péruwelz,284
209,Dixmude,114
210,Ciney,116
211,Hannut,198
212,Lille,286
213,Brée,261
214,Riemst,291
215,Éghezée,163
216,Laakdal,395
217,Bourg-Léopold,735
218,Peer,190
219,Ternat,671
220,Machelen,1441
221,Dour,493
222,Landen,308
223,Fléron,1197
224,Beernem,225
225,Malle,312
226,Zulte,491
227,Genappe,178
228,Kruisem*,223
229,Rumst,771
230,Haacht,505
231,Ravels,163
232,Waremme,501
233,Berlare,405
234,Bonheiden,529
235,Tremelo,704
236,Lummen,285
237,Dison,1092
238,Anzegem,358
239,Sprimont,203
240,Lubbeek,334
241,Brakel,265
242,Buggenhout,583
243,Jodoigne,202
244,Aartselaar,1351
245,Thuin,194
246,Opwijk,746
247,Chapelle-lez-Herlaimont,815
248,Herselt,283
249,Jabbeke,275
250,Vieux-Turnhout,379
251,Wezembeek-Oppem,2149
252,Assenede,167
253,Amay,525
254,Ichtegem,317
255,Enghien,368
256,Hamont-Achel,332
257,Beloeil,229
258,Leuze-en-Hainaut,191
259,Lasne,298
260,Kuurne,1399
261,Grez-Doiceau,253
262,Oosterzele,323
263,Liedekerke,1378
264,Wanze,318
265,Kraainem,2391
266,Couvin,67
267,Boechout,668
268,Ham-sur-Heure-Nalinnes,302
269,Bocholt,232
