"IDpol","ClaimAmount","ClaimNb","Exposure","VehPower","VehAge","DrivAge","BonusMalus","VehBrand","VehGas","Area","Density","Region"
139,303,1,0.75,7,1,61,50,"B12","Regular","F",27000,"Ile-de-France"
190,1981.84,1,0.14,12,5,50,60,"B12","Diesel","B",56,"Basse-Normandie"
414,1456.55,1,0.14,4,0,36,85,"B12","Regular","E",4792,"Ile-de-France"
424,9844.36,2,0.62,10,0,51,100,"B12","Regular","F",27000,"Ile-de-France"
424,989.64,2,0.62,10,0,51,100,"B12","Regular","F",27000,"Ile-de-France"
463,3986.67,1,0.31,5,0,45,50,"B12","Regular","A",12,"Midi-Pyrenees"
606,1840.14,1,0.84,10,6,54,50,"B12","Diesel","D",583,"Provence-Alpes-Cotes-D'Azur"
622,1397.97,1,0.75,5,0,34,64,"B12","Regular","D",1565,"Nord-Pas-de-Calais"
811,971.98,1,0.76,5,0,44,50,"B12","Regular","E",3317,"Provence-Alpes-Cotes-D'Azur"
830,1442.75,1,0.68,4,10,24,105,"B1","Regular","E",3064,"Ile-de-France"
975,637.41,1,0.73,9,0,60,50,"B12","Regular","D",570,"Provence-Alpes-Cotes-D'Azur"
1226,3048.98,1,0.79,7,7,28,80,"B12","Diesel","B",65,"Champagne-Ardenne"
1301,4573.47,1,0.05,6,0,76,50,"B12","Regular","D",543,"Languedoc-Roussillon"
1323,384.77,1,0.62,8,4,67,72,"B12","Regular","E",2674,"Provence-Alpes-Cotes-D'Azur"
1349,185.98,1,0.36,5,0,39,57,"B12","Diesel","C",177,"Provence-Alpes-Cotes-D'Azur"
1534,671.05,1,0.62,4,0,47,50,"B12","Regular","B",79,"Languedoc-Roussillon"
1552,995.2,2,0.59,11,0,39,56,"B12","Diesel","D",778,"Picardie"
1552,1845.74,2,0.59,11,0,39,56,"B12","Diesel","D",778,"Picardie"
1669,724.03,1,0.5,9,0,35,67,"B12","Regular","D",1139,"Ile-de-France"
1671,3401.9,1,0.73,6,0,74,50,"B12","Regular","E",3132,"Ile-de-France"
1741,2975.68,1,0.65,6,8,49,100,"B1","Regular","E",9082,"Ile-de-France"
1870,1692.29,1,0.11,5,0,52,50,"B12","Regular","C",428,"Midi-Pyrenees"
1963,422.05,1,0.1,9,0,78,50,"B12","Regular","E",2580,"Aquitaine"
1967,76.22,1,0.75,10,8,50,51,"B12","Regular","F",27000,"Ile-de-France"
2058,704.18,1,0.55,9,1,51,70,"B12","Regular","C",480,"Picardie"
2085,382.4,2,0.69,9,0,50,50,"B12","Regular","C",353,"Aquitaine"
2085,1469.88,2,0.69,9,0,50,50,"B12","Regular","C",353,"Aquitaine"
2199,564.35,1,0.12,5,0,49,50,"B12","Diesel","A",23,"Pays-de-la-Loire"
2222,3365.37,1,0.73,5,0,22,100,"B12","Regular","E",4408,"Ile-de-France"
2284,1761.37,1,0.6,6,0,35,72,"B12","Regular","C",495,"Languedoc-Roussillon"
2311,553.09,1,0.72,5,0,47,50,"B12","Regular","E",5936,"Ile-de-France"
2375,631.36,1,0.72,5,1,52,50,"B12","Regular","E",3430,"Provence-Alpes-Cotes-D'Azur"
2540,6467.65,1,0.15,7,2,71,60,"B12","Regular","E",2201,"Ile-de-France"
2606,1322.75,1,0.01,7,0,45,60,"B12","Diesel","E",6570,"Ile-de-France"
2689,885.28,1,0.7,7,5,32,100,"B12","Regular","F",15725,"Ile-de-France"
2776,679.09,2,0.57,12,9,53,100,"B12","Regular","E",3110,"Ile-de-France"
2776,8561.02,2,0.57,12,9,53,100,"B12","Regular","E",3110,"Ile-de-France"
2869,1878.72,1,0.57,4,0,48,50,"B12","Regular","D",726,"Languedoc-Roussillon"
3131,1219.51,1,0.74,10,0,61,72,"B12","Regular","E",5433,"Provence-Alpes-Cotes-D'Azur"
3227,984.07,1,0.96,6,7,47,50,"B4","Regular","E",2498,"Aquitaine"
3280,3647.26,1,0.75,9,0,54,50,"B12","Regular","A",34,"Bourgogne"
3351,1183.63,1,0.47,4,0,51,50,"B12","Regular","E",2580,"Aquitaine"
3362,4166.79,1,0.85,4,0,26,80,"B12","Regular","D",610,"Languedoc-Roussillon"
3407,1096.52,1,0.93,9,0,68,50,"B12","Regular","F",17140,"Ile-de-France"
3468,556.14,2,0.81,10,0,53,50,"B12","Diesel","C",112,"Provence-Alpes-Cotes-D'Azur"
3468,235.64,2,0.81,10,0,53,50,"B12","Diesel","C",112,"Provence-Alpes-Cotes-D'Azur"
3801,5451.29,1,0.86,10,4,53,50,"B12","Regular","D",1693,"Rhone-Alpes"
3895,6239.07,1,0.39,7,8,29,60,"B1","Regular","C",325,"Lorraine"
3897,12555.36,1,0.69,4,0,43,50,"B12","Regular","E",3317,"Provence-Alpes-Cotes-D'Azur"
3940,1551.38,1,0.48,10,0,48,50,"B12","Diesel","E",9307,"Rhone-Alpes"
4094,1309.81,1,0.26,12,3,28,76,"B12","Diesel","B",59,"Ile-de-France"
4178,326.57,1,0.75,5,0,36,50,"B12","Regular","A",17,"Corse"
4214,409.13,1,0.55,8,8,51,100,"B12","Regular","F",27000,"Ile-de-France"
4232,532.4,2,0.66,7,0,51,50,"B12","Regular","F",27000,"Ile-de-France"
4232,941.39,2,0.66,7,0,51,50,"B12","Regular","F",27000,"Ile-de-France"
4263,549.21,1,0.65,10,7,27,76,"B12","Diesel","C",162,"Pays-de-la-Loire"
4376,433.89,1,0.24,5,6,28,68,"B3","Diesel","E",3317,"Provence-Alpes-Cotes-D'Azur"
4663,1746.38,1,0.49,11,0,39,76,"B12","Diesel","F",27000,"Ile-de-France"
4718,575.19,1,0.51,6,0,35,64,"B12","Regular","D",949,"Centre"
5038,1440.4,1,0.59,7,5,30,85,"B12","Diesel","E",3744,"Provence-Alpes-Cotes-D'Azur"
5062,1405.75,1,0.54,5,0,25,80,"B3","Diesel","F",10961,"Ile-de-France"
5170,787.66,1,0.52,4,10,27,100,"B2","Regular","C",376,"Provence-Alpes-Cotes-D'Azur"
5181,191.15,1,0.57,5,2,26,100,"B12","Diesel","D",1412,"Auvergne"
5244,5340.29,1,0.01,12,4,69,50,"B12","Diesel","A",7,"Provence-Alpes-Cotes-D'Azur"
5246,378.33,1,0.57,11,0,37,50,"B12","Regular","E",3430,"Provence-Alpes-Cotes-D'Azur"
5319,31632.81,2,0.42,11,0,45,50,"B12","Diesel","D",1248,"Ile-de-France"
5319,553.64,2,0.42,11,0,45,50,"B12","Diesel","D",1248,"Ile-de-France"
5477,830.36,1,0.45,7,0,49,50,"B12","Diesel","C",113,"Languedoc-Roussillon"
5741,3950.26,1,0.47,7,0,32,80,"B12","Regular","E",3317,"Provence-Alpes-Cotes-D'Azur"
5973,1662.96,1,0.52,9,0,34,100,"B12","Regular","E",9307,"Rhone-Alpes"
6031,680.7,1,0.46,6,5,47,70,"B5","Diesel","D",1021,"Basse-Normandie"
6109,600.21,1,0.39,11,6,46,50,"B1","Diesel","D",1422,"Rhone-Alpes"
6242,594.76,1,0.5,9,0,34,55,"B12","Regular","D",824,"Languedoc-Roussillon"
6294,83.14,1,0.43,6,8,23,100,"B1","Diesel","D",800,"Aquitaine"
6331,553.22,1,0.44,7,0,43,50,"B12","Regular","C",188,"Picardie"
6375,2031.77,1,0.47,7,4,46,50,"B6","Regular","B",56,"Ile-de-France"
6477,893.56,1,0.29,6,0,42,90,"B12","Regular","F",17140,"Ile-de-France"
6575,90.24,1,0.26,5,6,32,71,"B1","Regular","E",3274,"Ile-de-France"
6785,581.21,1,0.44,6,0,41,51,"B12","Regular","D",1370,"Midi-Pyrenees"
6886,83.87,1,0.42,6,0,41,75,"B2","Diesel","E",3744,"Provence-Alpes-Cotes-D'Azur"
6937,81.14,2,0.43,5,8,18,100,"B5","Diesel","E",2498,"Aquitaine"
6937,1093.86,2,0.43,5,8,18,100,"B5","Diesel","E",2498,"Aquitaine"
7123,579.14,1,0.46,7,0,44,58,"B12","Diesel","C",458,"Provence-Alpes-Cotes-D'Azur"
7222,407.09,1,0.27,5,2,55,50,"B12","Diesel","D",966,"Bourgogne"
7232,891.75,1,0.14,6,0,31,51,"B12","Regular","D",675,"Languedoc-Roussillon"
