Exposure,Power,DriverAge,Fuel_type,Density,Sex,Sinistre
1.0,77,50,0,13928,1,1
1.0,66,64,0,13928,0,0
1.0,70,60,1,13928,1,0
1.0,57,77,0,13928,1,0
0.04657534246575343,70,28,0,13928,0,1
1.0,70,26,0,13928,1,0
1.0,55,26,0,13928,1,1
0.40273972602739727,47,58,0,13928,0,0
1.0,98,59,0,13928,1,0
1.0,74,34,0,13928,1,0
1.0,85,39,1,13928,1,1
0.9808219178082191,87,55,1,13928,1,0
1.0,104,77,0,13928,1,0
0.9726027397260274,71,49,0,13928,1,0
0.5808219178082191,104,63,0,13928,1,0
1.0,85,43,1,13928,1,0
1.0,113,51,0,13928,1,0
0.2054794520547945,130,67,0,13928,1,0
0.18356164383561643,125,52,0,13928,1,0
0.8904109589041096,66,40,1,13928,1,0
1.0,128,45,0,13928,1,0
1.0,119,34,0,13928,1,1
0.852054794520548,85,47,0,13928,1,0
1.0,98,51,0,13928,1,0
1.0,98,61,0,13928,1,0
0.9041095890410958,51,65,1,13928,1,0
1.0,98,57,0,13928,1,0
1.0,74,38,0,13928,1,0
1.0,85,59,0,13928,1,0
1.0,98,31,0,13928,1,0
1.0,101,33,0,13928,1,1
1.0,55,53,1,13928,1,0
1.0,55,47,1,13928,1,0
1.0,110,65,0,13928,1,0
1.0,55,62,0,13928,0,0
1.0,66,39,1,13928,1,0
0.6767123287671233,66,64,1,13928,1,0
0.8410958904109589,59,28,1,13928,1,0
0.9835616438356164,98,56,0,13928,1,0
1.0,66,41,0,13928,0,1
1.0,85,28,0,13928,1,0
0.1726027397260274,50,58,1,13928,1,0
0.4821917808219178,50,31,1,13928,1,0
0.19726027397260273,66,40,0,13928,1,0
1.0,55,70,1,13928,0,0
1.0,55,51,0,13928,1,0
1.0,110,57,0,13928,1,0
1.0,55,47,0,13928,1,1
1.0,44,46,0,13928,1,0
1.0,110,31,0,13928,1,0
0.589041095890411,50,66,1,13928,1,0
1.0,98,36,0,13928,1,1
1.0,94,37,0,13928,1,1
1.0,55,36,0,13928,1,0
1.0,87,78,0,13928,1,0
1.0,151,58,0,13928,1,0
1.0,66,31,0,13928,1,0
1.0,70,24,0,13928,1,1
1.0,29,74,0,13928,0,0
1.0,29,26,0,13928,0,0
1.0,75,46,0,13928,1,0
0.13424657534246576,100,34,0,13928,1,0
0.29041095890410956,85,51,0,13928,1,0
1.0,103,54,0,13928,1,1
1.0,85,43,1,13928,1,0
1.0,105,35,1,13928,1,0
1.0,95,37,0,13928,1,0
1.0,103,56,0,13928,1,1
1.0,75,39,0,13928,1,0
1.0,65,62,0,13928,0,0
1.0,110,33,0,13928,1,0
0.12876712328767123,83,24,0,13928,1,0
1.0,110,39,0,13928,1,0
1.0,72,36,0,13928,1,0
1.0,77,37,0,13928,1,0
0.4520547945205479,63,52,1,13928,1,0
0.4657534246575342,92,27,0,13928,1,0
0.6410958904109589,75,33,0,13928,1,0
0.3424657534246575,85,43,1,13928,1,0
1.0,110,68,0,13928,1,0
1.0,92,55,0,13928,0,0
0.37534246575342467,124,41,0,13928,1,0
0.5452054794520548,90,55,0,13928,1,0
1.0,85,43,0,13928,0,0
1.0,85,35,1,13928,1,1
1.0,66,29,1,13928,1,0
1.0,83,45,0,13928,0,1
0.4602739726027397,83,51,0,13928,1,0
1.0,110,51,0,13928,1,0
1.0,90,23,0,13928,1,1
1.0,74,36,0,13928,0,0
1.0,66,27,1,13928,1,1
0.06575342465753424,75,29,0,13928,1,0
1.0,110,54,0,13928,1,1
1.0,85,68,1,13928,1,0
1.0,110,58,0,13928,0,0
1.0,85,69,1,13928,1,0
1.0,68,52,1,13928,0,0
1.0,19,34,0,13928,1,0
1.0,51,34,1,13928,1,0
1.0,55,46,1,13928,0,0
0.4465753424657534,21,30,0,13928,1,0
1.0,33,54,0,13928,1,0
1.0,63,41,0,13928,1,0
1.0,33,43,0,13928,0,0
0.005479452054794521,44,47,0,13928,1,0
0.2547945205479452,33,37,0,13928,0,0
1.0,33,46,0,13928,0,0
1.0,40,36,0,13928,1,1
0.26575342465753427,33,29,0,13928,1,0
0.4575342465753425,44,31,0,13928,0,0
0.4273972602739726,55,56,0,13928,0,0
1.0,34,77,0,13928,1,0
1.0,44,55,0,13928,1,0
1.0,32,60,0,13928,0,1
1.0,33,37,0,13928,0,0
0.915068493150685,42,70,1,13928,0,0
1.0,44,43,0,13928,1,0
1.0,55,31,0,13928,0,1
1.0,55,33,0,13928,0,1
1.0,68,38,0,13928,1,0
1.0,51,61,1,13928,1,0
1.0,51,42,1,13928,0,0
0.3698630136986301,48,47,1,13928,1,0
1.0,65,69,0,13928,1,0
1.0,65,54,0,13928,1,0
0.024657534246575342,66,29,1,13928,0,0
1.0,51,31,1,13928,1,1
1.0,75,70,0,13928,1,0
0.9315068493150684,65,47,0,13928,1,0
1.0,51,63,1,13928,1,0
1.0,48,42,1,13928,1,0
0.0958904109589041,68,50,0,13928,1,0
0.8410958904109589,67,47,1,13928,1,0
0.9260273972602739,74,54,0,13928,1,0
0.673972602739726,51,60,1,13928,1,0
0.20273972602739726,48,50,1,13928,1,0
0.2219178082191781,81,50,0,13928,0,0
0.38904109589041097,68,44,0,13928,0,0
0.00821917808219178,74,39,0,13928,1,0
1.0,68,62,1,13928,1,0
1.0,65,52,0,13928,1,0
1.0,74,52,0,13928,1,0
1.0,66,39,1,13928,1,0
1.0,52,35,0,13928,0,0
1.0,68,58,0,13928,1,0
0.5397260273972603,33,49,0,13928,1,0
0.9205479452054794,67,64,1,13928,1,0
1.0,66,32,0,13928,0,0
1.0,51,66,1,13928,1,0
0.410958904109589,45,40,0,13928,1,0
1.0,51,28,1,13928,0,1
1.0,50,25,0,13928,1,1
1.0,52,27,0,13928,0,0
1.0,52,31,0,13928,1,0
0.2356164383561644,66,33,1,13928,1,0
1.0,52,39,0,13928,1,1
1.0,80,56,1,13928,0,0
0.17534246575342466,60,53,1,13928,1,0
0.4438356164383562,94,60,0,13928,1,0
1.0,80,48,1,13928,1,0
1.0,80,45,1,13928,1,0
1.0,94,38,0,13928,1,0
1.0,94,33,0,13928,1,0
1.0,54,41,1,13928,1,1
1.0,37,75,0,13928,1,0
1.0,43,43,0,13928,1,0
0.14520547945205478,25,37,0,13928,1,0
0.915068493150685,25,29,0,13928,0,0
1.0,67,70,1,13928,1,0
1.0,51,69,1,13928,1,0
0.4767123287671233,51,31,1,13928,0,0
1.0,67,69,1,13928,1,1
1.0,51,38,1,13928,0,0
1.0,65,68,0,13928,1,0
1.0,55,55,0,13928,1,0
1.0,38,47,0,13928,1,1
1.0,30,47,0,13928,0,0
1.0,56,53,0,13928,0,0
0.16712328767123288,27,48,1,13928,0,0
1.0,59,48,0,13928,1,0
1.0,30,45,0,13928,1,0
1.0,38,37,0,13928,0,0
1.0,50,66,0,13928,1,0
0.3698630136986301,74,28,1,13928,0,0
0.7479452054794521,50,39,0,13928,0,0
1.0,68,36,1,13928,1,0
1.0,66,31,0,13928,1,1
0.7917808219178082,59,32,0,13928,0,0
0.7041095890410959,52,36,0,13928,1,0
0.2876712328767123,83,38,0,13928,0,0
0.6109589041095891,60,32,0,13928,1,1
0.17534246575342466,59,66,0,13928,0,0
0.3835616438356164,52,46,0,13928,1,0
1.0,42,29,1,13928,0,1
1.0,40,40,0,13928,1,0
0.7479452054794521,33,37,0,13928,1,1
1.0,33,45,0,13928,1,0
1.0,33,23,0,13928,1,0
1.0,33,51,0,13928,1,1
0.9561643835616438,25,41,0,13928,0,1
0.6465753424657534,42,45,1,13928,1,0
0.2136986301369863,33,67,1,13928,1,0
1.0,24,29,0,13928,1,0
0.41643835616438357,48,50,0,13928,1,0
0.15616438356164383,33,25,0,13928,1,0
1.0,25,49,0,13928,0,0
1.0,42,37,1,13928,1,0
1.0,25,36,0,13928,0,0
1.0,33,59,0,13928,0,0
1.0,43,57,0,13928,0,0
1.0,33,62,0,13928,1,0
