Exposure,Power,DriverAge,Fuel_type,Density,Sex,Sinistre
0.75,43,61,0,27000,0,0
0.14,66,50,1,56,0,0
0.14,10,36,0,4792,0,0
0.62,56,51,0,27000,1,1
0.62,56,51,0,27000,1,0
0.75,30,34,0,1565,0,0
0.68,10,24,0,3064,1,0
0.5,53,35,0,1139,1,0
0.73,40,74,0,3132,0,1
0.65,40,49,0,9082,1,0
0.1,53,78,0,2580,1,0
0.75,56,50,0,27000,0,0
0.69,53,50,0,353,1,0
0.69,53,50,0,353,0,0
0.12,30,49,1,23,1,0
0.73,30,22,0,4408,0,1
0.72,30,47,0,5936,1,0
0.15,43,71,0,2201,0,1
0.01,43,45,1,6570,0,0
0.7,43,32,0,15725,0,0
0.57,66,53,0,3110,0,0
0.57,66,53,0,3110,0,1
0.96,40,47,0,2498,1,0
0.47,10,51,0,2580,0,0
0.93,53,68,0,17140,0,0
0.26,66,28,1,59,1,0
0.55,50,51,0,27000,1,0
0.66,43,51,0,27000,1,0
0.66,43,51,0,27000,1,0
0.65,56,27,1,162,0,0
0.49,60,39,1,27000,0,0
0.51,40,35,0,949,0,0
0.54,30,25,1,10961,0,0
0.42,60,45,1,1248,1,1
0.42,60,45,1,1248,1,0
0.46,40,47,1,1021,1,0
0.43,40,23,1,800,0,0
0.47,43,46,0,56,1,0
0.29,40,42,0,17140,0,0
0.26,30,32,0,3274,0,0
0.43,30,18,1,2498,1,0
0.43,30,18,1,2498,1,0
0.21,10,36,0,2537,1,0
0.38,43,33,1,5460,0,0
0.26,40,56,1,97,1,0
0.19,10,51,0,100,1,0
0.14,30,60,0,12750,1,0
0.12,30,25,0,515,1,0
0.07,56,24,0,72,1,1
1.0,50,56,1,272,0,0
0.5,30,42,0,361,0,0
1.0,10,36,0,229,0,0
0.68,30,46,0,4116,1,1
0.75,10,56,0,1284,0,0
0.75,10,56,0,1284,1,0
0.54,43,44,0,399,0,0
0.19,43,44,0,399,0,0
1.0,40,73,1,105,1,0
1.0,30,61,0,461,1,0
1.0,43,53,0,121,0,0
0.19,43,44,1,56,1,0
1.0,50,65,0,44,0,0
1.0,43,78,0,282,1,0
1.0,10,51,0,40,0,0
1.0,10,76,0,405,1,0
0.59,40,69,0,741,0,0
0.99,50,56,1,1284,1,0
1.0,30,72,0,48,1,0
0.39,40,55,1,26,0,0
0.5,40,44,1,56,0,0
1.0,43,78,0,1284,0,0
0.49,40,50,1,48,1,1
1.0,40,78,0,43,0,0
0.75,10,50,1,251,1,0
1.0,30,62,0,2563,0,0
0.67,43,53,0,13,0,0
1.0,40,48,0,335,0,0
1.0,43,54,0,66,0,0
1.0,120,73,0,10,1,1
0.24,43,51,0,1313,0,1
0.72,10,79,0,39,1,1
1.0,56,66,1,4116,0,0
0.5,30,53,0,94,1,0
1.0,43,63,0,1943,0,0
1.0,30,50,1,399,0,0
1.0,53,53,0,255,1,0
1.0,40,86,0,227,1,0
1.0,40,86,0,227,1,0
1.0,40,67,1,18,1,0
1.0,60,48,0,49,0,0
0.93,43,60,0,295,1,0
0.16,53,64,0,295,1,0
1.0,30,43,1,44,0,0
1.0,10,75,0,385,1,1
0.34,40,52,0,50,1,0
0.79,43,43,0,16,0,0
0.33,56,49,0,73,1,1
1.0,43,67,0,48,0,0
1.0,40,53,0,24,1,0
1.0,66,51,1,8,0,0
1.0,43,75,0,91,1,1
1.0,43,75,0,91,0,1
1.0,30,43,1,35,0,0
0.24,43,54,1,4116,1,0
1.0,40,54,0,1102,0,0
1.0,40,80,0,473,1,0
1.0,10,49,0,522,1,0
0.87,40,71,1,229,0,0
1.0,10,86,1,51,1,0
1.0,43,73,0,182,0,0
1.0,50,69,0,359,0,0
0.74,40,42,1,28,1,0
0.98,43,52,1,44,1,0
0.16,66,45,0,10,0,0
1.0,30,52,1,1313,0,0
0.75,10,72,0,57,0,0
1.0,43,87,0,399,0,0
1.0,40,50,1,32,0,1
1.0,30,58,0,44,0,0
1.0,30,58,0,44,0,0
1.0,43,55,0,111,0,0
0.24,50,49,0,12,1,1
1.0,43,51,1,59,1,0
1.0,43,82,0,27,1,0
1.0,53,62,0,91,1,0
1.0,40,69,1,25,0,0
1.0,50,45,1,106,0,0
1.0,43,72,0,26,1,0
1.0,30,46,1,2007,0,0
1.0,60,42,0,74,1,0
1.0,43,50,1,1313,1,0
1.0,10,68,0,30,1,0
1.0,43,68,0,270,0,0
0.52,40,46,1,50,1,0
1.0,50,58,1,575,0,0
0.99,60,53,0,165,0,0
1.0,40,71,1,634,1,0
0.96,10,54,0,473,0,0
0.22,43,49,1,4128,0,1
1.0,30,49,0,4128,1,0
1.0,43,47,1,122,0,0
1.0,30,71,0,91,1,0
1.0,40,81,1,112,0,0
1.0,40,50,0,60,0,0
0.42,40,42,0,133,0,0
0.96,10,43,0,196,0,0
0.37,10,78,1,45,1,1
1.0,40,51,0,287,0,0
0.36,30,56,1,27000,0,0
1.0,40,59,1,270,1,0
0.52,43,51,1,71,1,0
0.22,10,69,0,473,1,0
1.0,10,56,0,3386,0,0
1.0,30,72,0,473,0,0
1.0,30,58,0,27000,0,0
1.0,10,68,0,9,0,0
1.0,10,39,1,29,1,0
0.39,43,74,1,155,0,0
0.43,30,53,1,128,0,0
0.5,43,52,0,14,1,1
1.0,40,77,0,399,0,0
0.74,40,58,0,399,0,0
1.0,40,65,1,16,1,0
1.0,43,55,0,30,1,0
1.0,30,76,0,43,1,0
1.0,30,62,1,399,1,0
1.0,43,63,1,192,0,0
0.71,43,51,1,9,0,0
1.0,30,57,1,4116,1,0
1.0,40,41,0,270,0,0
0.75,40,48,1,13,0,0
0.77,40,48,0,1064,1,0
1.0,53,44,1,394,1,0
0.72,30,64,1,51,1,0
1.0,43,41,0,821,1,0
1.0,10,72,0,229,1,0
1.0,40,38,1,2103,0,0
1.0,30,66,0,1192,0,0
1.0,50,45,0,473,1,1
0.75,43,57,0,229,0,0
1.0,40,58,1,473,0,0
1.0,40,65,0,229,1,0
0.88,30,52,0,473,1,0
1.0,30,43,0,4128,0,0
1.0,43,44,1,77,0,0
0.72,40,51,0,8884,1,0
1.0,40,80,0,1284,1,0
1.0,40,80,0,1284,1,0
0.24,60,60,0,3386,1,0
1.0,43,49,1,165,1,0
1.0,40,66,1,165,0,0
1.0,10,51,0,36,0,0
1.0,10,56,0,461,0,0
1.0,30,86,0,16,0,0
0.97,40,79,1,118,0,0
0.63,30,36,1,1064,1,0
1.0,30,54,1,3866,1,1
1.0,40,50,1,282,1,0
1.0,53,53,0,1193,0,0
0.87,10,46,0,28,1,0
0.41,53,29,1,3866,1,0
0.66,43,49,1,97,0,0
0.7,40,63,1,1398,1,1
0.26,43,33,0,374,0,0
0.73,43,33,0,374,0,0
1.0,40,50,0,10156,0,0
0.16,30,35,0,39,1,0
0.42,40,50,1,16,0,0
1.0,30,29,0,87,0,0
1.0,30,33,1,1690,0,0
0.37,43,31,0,34,0,1
1.0,40,56,1,747,1,0
1.0,40,25,0,634,0,0
1.0,40,25,0,39,0,0
1.0,40,41,1,70,0,0
1.0,40,50,0,50,1,0
1.0,30,46,1,22669,1,0
1.0,40,35,0,51,0,0
0.43,30,43,1,133,0,0
1.0,50,52,1,90,1,0
0.66,40,60,0,20,1,0
0.97,43,47,1,44,1,0
1.0,43,74,0,78,0,0
1.0,60,46,0,298,0,1
0.83,10,76,0,22,0,0
1.0,43,73,0,81,1,0
0.76,30,27,1,255,1,0
0.56,56,30,1,614,1,0
1.0,30,67,0,126,0,0
0.31,40,50,1,29,1,0
1.0,40,23,1,61,1,0
1.0,40,23,1,61,1,0
0.09,40,33,0,67,0,1
1.0,50,46,1,170,1,0
