"PolicyID","ClaimAmount","ClaimNb","Exposure","Power","CarAge","DriverAge","Brand","Gas","Region","Density"
33,302,1,0.75,"g",1,61,"Japanese (except Nissan) or Korean","Regular","Ile-de-France",27000
41,2001,1,0.14,"l",5,50,"Japanese (except Nissan) or Korean","Diesel","Basse-Normandie",56
92,1449,1,0.14,"d",0,36,"Japanese (except Nissan) or Korean","Regular","Ile-de-France",4792
96,9924,2,0.62,"j",0,51,"Japanese (except Nissan) or Korean","Regular","Ile-de-France",27000
96,946,2,0.62,"j",0,51,"Japanese (except Nissan) or Korean","Regular","Ile-de-France",27000
142,1390,1,0.75,"e",0,34,"Japanese (except Nissan) or Korean","Regular","Nord-Pas-de-Calais",1565
182,1418,1,0.68,"d",10,24,"Renault, Nissan or Citroen","Regular","Ile-de-France",3064
377,747,1,0.5,"i",0,35,"Japanese (except Nissan) or Korean","Regular","Ile-de-France",1139
378,3332,1,0.73,"f",0,74,"Japanese (except Nissan) or Korean","Regular","Ile-de-France",3132
401,2956,1,0.65,"f",8,49,"Renault, Nissan or Citroen","Regular","Ile-de-France",9082
436,471,1,0.1,"i",0,78,"Japanese (except Nissan) or Korean","Regular","Aquitaine",2580
438,73,1,0.75,"j",8,50,"Japanese (except Nissan) or Korean","Regular","Ile-de-France",27000
467,1440,2,0.69,"i",0,50,"Japanese (except Nissan) or Korean","Regular","Aquitaine",353
467,395,2,0.69,"i",0,50,"Japanese (except Nissan) or Korean","Regular","Aquitaine",353
494,576,1,0.12,"e",0,49,"Japanese (except Nissan) or Korean","Diesel","Pays-de-la-Loire",23
500,3409,1,0.73,"e",0,22,"Japanese (except Nissan) or Korean","Regular","Ile-de-France",4408
520,594,1,0.72,"e",0,47,"Japanese (except Nissan) or Korean","Regular","Ile-de-France",5936
580,6518,1,0.15,"g",2,71,"Japanese (except Nissan) or Korean","Regular","Ile-de-France",2201
596,1274,1,0.01,"g",0,45,"Japanese (except Nissan) or Korean","Diesel","Ile-de-France",6570
615,936,1,0.7,"g",5,32,"Japanese (except Nissan) or Korean","Regular","Ile-de-France",15725
643,644,2,0.57,"l",9,53,"Japanese (except Nissan) or Korean","Regular","Ile-de-France",3110
643,8461,2,0.57,"l",9,53,"Japanese (except Nissan) or Korean","Regular","Ile-de-France",3110
723,990,1,0.96,"f",7,47,"Opel, General Motors or Ford","Regular","Aquitaine",2498
760,1129,1,0.47,"d",0,51,"Japanese (except Nissan) or Korean","Regular","Aquitaine",2580
766,1107,1,0.93,"i",0,68,"Japanese (except Nissan) or Korean","Regular","Ile-de-France",17140
909,1344,1,0.26,"l",3,28,"Japanese (except Nissan) or Korean","Diesel","Ile-de-France",59
944,397,1,0.55,"h",8,51,"Japanese (except Nissan) or Korean","Regular","Ile-de-France",27000
948,934,2,0.66,"g",0,51,"Japanese (except Nissan) or Korean","Regular","Ile-de-France",27000
